"id_tarif_inacbg","kd_inacbg","uraian","kelas","tipe_rs","tarif"
"8","A-4-10-II ","SEPTIKEMIA SEDANG","III","B","4242000"
"54","A-4-12-III","DEMAM BERAT","I","B","4959800"
"63","A-4-13-II ","INFEKSI NON BAKTERI SEDANG","III","B","2613000"
"53","A-4-12-III","DEMAM BERAT","I","C","4711800"
"56","A-4-13-I  ","INFEKSI NON BAKTERI RINGAN","III","B","2047300"
"59","A-4-13-I  ","INFEKSI NON BAKTERI RINGAN","II","B","2456800"
"14","A-4-10-III","SEPTIKEMIA BERAT","II","C","5249600"
"58","A-4-13-I  ","INFEKSI NON BAKTERI RINGAN","I","C","2131900"
"61","A-4-13-II ","INFEKSI NON BAKTERI SEDANG","III","C","2294000"
"66","A-4-13-II ","INFEKSI NON BAKTERI SEDANG","I","B","3658300"
"68","A-4-13-III","INFEKSI NON BAKTERI BERAT","II","C","3303300"
"71","A-4-13-III","INFEKSI NON BAKTERI BERAT","I","C","3853900"
"69","A-4-13-III","INFEKSI NON BAKTERI BERAT","III","B","3135700"
"76","A-4-14-I  ","PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN RINGAN","II","B","2667000"
"79","A-4-14-II ","PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN SEDANG","III","C","2562900"
"81","A-4-14-II ","PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN SEDANG","II","B","3237400"
"84","A-4-14-II ","PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN SEDANG","I","B","3776900"
"89","A-4-14-III","PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN BERAT","I","C","4305600"
"91","A-4-15-I  ","INFEKSI HIV RINGAN","III","C","3314800"
"92","A-4-15-I  ","INFEKSI HIV RINGAN","II","C","3977800"
"93","A-4-15-I  ","INFEKSI HIV RINGAN","I","C","4640800"
"95","A-4-15-I  ","INFEKSI HIV RINGAN","II","B","17007300"
"96","A-4-15-I  ","INFEKSI HIV RINGAN","I","B","19841800"
"98","A-4-15-II ","INFEKSI HIV SEDANG","II","C","5954300"
"99","A-4-15-II ","INFEKSI HIV SEDANG","I","C","6946700"
"118","B-1-01-II ","PROSEDUR PENCANGKOKAN HATI SEDANG","III","B","42767100"
"101","A-4-15-II ","INFEKSI HIV SEDANG","II","B","21179700"
"102","A-4-15-II ","INFEKSI HIV SEDANG","I","B","24709700"
"104","A-4-15-III","INFEKSI HIV BERAT","II","C","7472200"
"107","A-4-15-III","INFEKSI HIV BERAT","II","B","23927100"
"108","A-4-15-III","INFEKSI HIV BERAT","I","B","27915000"
"110","B-1-01-I  ","PROSEDUR PENCANGKOKAN HATI RINGAN","II","C","27233400"
"112","B-1-01-I  ","PROSEDUR PENCANGKOKAN HATI RINGAN","III","B","38764200"
"114","B-1-01-I  ","PROSEDUR PENCANGKOKAN HATI RINGAN","I","B","54269800"
"120","B-1-01-II ","PROSEDUR PENCANGKOKAN HATI SEDANG","I","B","59873900"
"121","B-1-01-III","PROSEDUR PENCANGKOKAN HATI BERAT","II","B","113124200"
"123","B-1-01-III","PROSEDUR PENCANGKOKAN HATI BERAT","III","C","43922100"
"125","B-1-01-III","PROSEDUR PENCANGKOKAN HATI BERAT","I","C","61491000"
"127","B-1-10-I  ","PROSEDUR HATI DAN PANKREAS RINGAN","III","C","3921200"
"129","B-1-10-I  ","PROSEDUR HATI DAN PANKREAS RINGAN","I","C","5489700"
"131","B-1-10-I  ","PROSEDUR HATI DAN PANKREAS RINGAN","II","B","7519200"
"133","B-1-10-II ","PROSEDUR HATI DAN PANKREAS SEDANG","III","C","8703400"
"137","B-1-10-II ","PROSEDUR HATI DAN PANKREAS SEDANG","II","B","16689400"
"139","B-1-10-III","PROSEDUR HATI DAN PANKREAS BERAT","III","C","17181700"
"140","B-1-10-III","PROSEDUR HATI DAN PANKREAS BERAT","II","C","20618100"
"142","B-1-10-III","PROSEDUR HATI DAN PANKREAS BERAT","III","B","27455900"
"144","B-1-10-III","PROSEDUR HATI DAN PANKREAS BERAT","I","B","38438200"
"146","B-1-11-I  ","PROSEDUR SALURAN EMPEDU KOMPLEK (RINGAN)","II","C","6287400"
"148","B-1-11-I  ","PROSEDUR SALURAN EMPEDU KOMPLEK (RINGAN)","I","C","7335300"
"151","B-1-11-II ","PROSEDUR SALURAN EMPEDU KOMPLEK (SEDANG)","III","C","6790000"
"155","B-1-11-II ","PROSEDUR SALURAN EMPEDU KOMPLEK (SEDANG)","II","B","10982400"
"157","B-1-11-III","PROSEDUR SALURAN EMPEDU KOMPLEK (BERAT)","III","C","8772600"
"159","B-1-11-III","PROSEDUR SALURAN EMPEDU KOMPLEK (BERAT)","III","B","11824200"
"161","B-1-11-III","PROSEDUR SALURAN EMPEDU KOMPLEK (BERAT)","II","B","14189100"
"163","B-1-12-I  ","PROSEDUR CHOLESISTEKTOMI TANPA LAPAROSKOPIK RINGAN","III","C","5116100"
"166","B-1-12-I  ","PROSEDUR CHOLESISTEKTOMI TANPA LAPAROSKOPIK RINGAN","III","B","6895800"
"168","B-1-12-I  ","PROSEDUR CHOLESISTEKTOMI TANPA LAPAROSKOPIK RINGAN","I","B","9654100"
"173","B-1-12-II ","PROSEDUR CHOLESISTEKTOMI TANPA LAPAROSKOPIK SEDANG","II","B","9203200"
"177","B-1-12-III","PROSEDUR CHOLESISTEKTOMI TANPA LAPAROSKOPIK BERAT","III","B","11997800"
"179","B-1-12-III","PROSEDUR CHOLESISTEKTOMI TANPA LAPAROSKOPIK BERAT","II","B","14397400"
"182","B-1-13-I  ","PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (RINGAN)","II","C","4890000"
"184","B-1-13-I  ","PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (RINGAN)","I","C","5705000"
"4179","Q-5-10-0  ","PENYALAHGUNAAN ZAT KIMIA AKUT","","C","321000"
"211","B-1-14-III","PROSEDUR CHOLESISTEKTOMI DENGAN LAPAROSKOPIK BERAT","III","C","9742000"
"208","B-1-14-II ","PROSEDUR CHOLESISTEKTOMI DENGAN LAPAROSKOPIK SEDANG","I","C","8718300"
"64","A-4-13-II ","INFEKSI NON BAKTERI SEDANG","I","C","3211600"
"203","B-1-14-I  ","PROSEDUR CHOLESISTEKTOMI DENGAN LAPAROSKOPIK RINGAN","II","B","9056400"
"215","B-1-14-III","PROSEDUR CHOLESISTEKTOMI DENGAN LAPAROSKOPIK BERAT","II","B","15757100"
"217","B-2-10-0  ","PROSEDUR PADA HATI DAN PANKREAS","","B","923600"
"86","A-4-14-III","PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN BERAT","III","C","3075400"
"219","B-2-11-0  ","PROSEDUR BESAR PADA SALURAN EMPEDU","","B","1198100"
"241","B-4-10-II ","SIROSIS DAN HEPATITIS ALKOHOLIK SEDANG","III","B","3615600"
"221","B-2-12-0  ","PROSEDUR KOLESISTEKTOMI TANPA LAPAROSKOPI","","C","2204600"
"245","B-4-10-III","SIROSIS DAN HEPATITIS ALKOHOLIK BERAT","III","C","3815000"
"238","B-4-10-I  ","SIROSIS DAN HEPATITIS ALKOHOLIK RINGAN","I","B","3171000"
"223","B-2-13-0  ","PROSEDUR LAIN-LAIN PADA HEPATOBILIARI & PANKREAS","","B","1841100"
"225","B-2-14-0  ","PROSEDUR KOLESISTEKTOMI DENGAN LAPAROSKOPI","","C","2367600"
"228","B-3-10-0  ","PROSEDUR PADA PERKUTAN HATI & SALURAN EMPEDU","","C","435500"
"170","B-1-12-II ","PROSEDUR CHOLESISTEKTOMI TANPA LAPAROSKOPIK SEDANG","II","C","6828000"
"230","B-3-11-0  ","PROSEDUR ENDOSKOPI SALURAN EMPEDU","","B","1075700"
"232","B-3-12-0  ","PROSEDUR LAIN-LAIN PADA SISTEM HEPATOBILIARI DAN PANKREAS","","B","344100"
"234","B-4-10-I  ","SIROSIS DAN HEPATITIS ALKOHOLIK RINGAN","II","C","2078900"
"236","B-4-10-I  ","SIROSIS DAN HEPATITIS ALKOHOLIK RINGAN","I","C","2425400"
"243","B-4-10-II ","SIROSIS DAN HEPATITIS ALKOHOLIK SEDANG","II","B","4338700"
"247","B-4-10-III","SIROSIS DAN HEPATITIS ALKOHOLIK BERAT","III","B","4987800"
"249","B-4-10-III","SIROSIS DAN HEPATITIS ALKOHOLIK BERAT","II","B","5985400"
"260","B-4-11-II ","TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS SEDANG","I","C","7159100"
"254","B-4-11-I  ","TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS RINGAN","III","B","4775500"
"256","B-4-11-I  ","TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS RINGAN","I","B","6685700"
"258","B-4-11-II ","TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS SEDANG","II","C","6136400"
"263","B-4-11-III","TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS BERAT","III","C","6195100"
"265","B-4-11-III","TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS BERAT","III","B","8099700"
"267","B-4-11-III","TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS BERAT","II","B","9719600"
"269","B-4-12-I  ","GANGGUAN PANKREAS SELAIN TUMOR (RINGAN)","III","C","3302300"
"272","B-4-12-I  ","GANGGUAN PANKREAS SELAIN TUMOR (RINGAN)","I","C","4623300"
"276","B-4-12-II ","GANGGUAN PANKREAS SELAIN TUMOR (SEDANG)","II","C","5642900"
"274","B-4-12-I  ","GANGGUAN PANKREAS SELAIN TUMOR (RINGAN)","I","B","6044600"
"280","B-4-12-II ","GANGGUAN PANKREAS SELAIN TUMOR (SEDANG)","I","B","8873400"
"282","B-4-12-III","GANGGUAN PANKREAS SELAIN TUMOR (BERAT)","II","C","8395300"
"301","B-4-13-III","GANGGUAN HATI SELAIN TUMOR, SIROSIS ATAU HEPATITIS ALKOHOLIK BERAT","III","B","6609600"
"284","B-4-12-III","GANGGUAN PANKREAS SELAIN TUMOR (BERAT)","I","C","9794600"
"286","B-4-12-III","GANGGUAN PANKREAS SELAIN TUMOR (BERAT)","I","B","13201700"
"289","B-4-13-I  ","GANGGUAN HATI SELAIN TUMOR, SIROSIS ATAU HEPATITIS ALKOHOLIK RINGAN","III","B","4118600"
"196","B-1-13-III","PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (BERAT)","I","C","12145900"
"292","B-4-13-I  ","GANGGUAN HATI SELAIN TUMOR, SIROSIS ATAU HEPATITIS ALKOHOLIK RINGAN","I","B","5766000"
"307","B-4-14-I  ","GANGGUAN SALURAN EMPEDU LAIN-LAIN RINGAN","III","B","4114200"
"303","B-4-13-III","GANGGUAN HATI SELAIN TUMOR, SIROSIS ATAU HEPATITIS ALKOHOLIK BERAT","II","B","7931600"
"305","B-4-14-I  ","GANGGUAN SALURAN EMPEDU LAIN-LAIN RINGAN","III","C","3146800"
"310","B-4-14-I  ","GANGGUAN SALURAN EMPEDU LAIN-LAIN RINGAN","I","B","5759900"
"312","B-4-14-II ","GANGGUAN SALURAN EMPEDU LAIN-LAIN SEDANG","II","C","4405300"
"314","B-4-14-II ","GANGGUAN SALURAN EMPEDU LAIN-LAIN SEDANG","III","B","4799700"
"316","B-4-14-II ","GANGGUAN SALURAN EMPEDU LAIN-LAIN SEDANG","I","B","6719600"
"318","B-4-14-III","GANGGUAN SALURAN EMPEDU LAIN-LAIN BERAT","II","C","5901100"
"320","B-4-14-III","GANGGUAN SALURAN EMPEDU LAIN-LAIN BERAT","I","C","6884600"
"322","B-4-14-III","GANGGUAN SALURAN EMPEDU LAIN-LAIN BERAT","I","B","9001100"
"324","C-3-10-0  ","PROSEDUR RADIOTERAPI","","B","923700"
"326","C-3-11-0  ","KEMOTERAPI PADA TUMOR PARU & KANDUNG KEMIH","","B","686300"
"355","C-4-10-I  ","LEUKEMIA AKUT RINGAN","II","B","4708900"
"328","C-3-12-0  ","KEMOTERAPI PADA TUMOR KOLON","","C","732500"
"198","B-1-13-III","PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (BERAT)","I","B","16371000"
"360","C-4-10-II ","LEUKEMIA AKUT SEDANG","I","C","7820600"
"330","C-3-13-0  ","KEMOTERAPI PADA TUMOR PAYUDARA ATAU OVARIUM","","B","1171500"
"361","C-4-10-II ","LEUKEMIA AKUT SEDANG","II","B","9035200"
"332","C-3-14-0  ","KEMOTERAPI PADA TUMOR GASTROINTESTINAL","","B","1597900"
"335","C-3-16-0  ","KEMOTERAPI PADA TUMOR OTAK","","C","446000"
"336","C-3-16-0  ","KEMOTERAPI PADA TUMOR OTAK","","B","474400"
"338","C-3-17-0  ","KEMOTERAPI PADA TUMOR KEPALA ATAU LEHER","","C","1029400"
"340","C-3-18-0  ","KEMOTERAPI PADA LEUKEMIA AKUT","","C","373400"
"342","C-3-19-0  ","KEMOTERAPI PADA TUMOR LIMFOMA, MYELOMA ATAU TESTIS","","B","681900"
"344","C-3-20-0  ","KEMOTERAPI PADA TUMOR KULIT","","C","1952700"
"201","B-1-14-I  ","PROSEDUR CHOLESISTEKTOMI DENGAN LAPAROSKOPIK RINGAN","III","B","7547000"
"346","C-3-21-0  ","KEMOTERAPI PADA TUMOR GINEKOLOGI","","B","743900"
"348","C-3-22-0  ","KEMOTERAPI PADA TUMOR METASTASE","","B","1756800"
"350","C-3-23-0  ","KEMOTERAPI PADA TUMOR LAIN-LAIN","","B","428600"
"351","C-4-10-I  ","LEUKEMIA AKUT RINGAN","III","C","2911300"
"353","C-4-10-I  ","LEUKEMIA AKUT RINGAN","III","B","3924100"
"356","C-4-10-I  ","LEUKEMIA AKUT RINGAN","I","B","5493700"
"363","C-4-10-III","LEUKEMIA AKUT BERAT","III","C","9860000"
"365","C-4-10-III","LEUKEMIA AKUT BERAT","III","B","12891300"
"367","C-4-10-III","LEUKEMIA AKUT BERAT","II","B","15469500"
"368","C-4-10-III","LEUKEMIA AKUT BERAT","I","B","18047800"
"390","C-4-12-I  ","RADIOTERAPI RINGAN","I","C","3092500"
"175","B-1-12-III","PROSEDUR CHOLESISTEKTOMI TANPA LAPAROSKOPIK BERAT","III","C","8901400"
"386","C-4-11-III","LIMFOMA & LEUKEMIA NON AKUT BERAT","I","B","12880100"
"387","C-4-12-I  ","RADIOTERAPI RINGAN","III","C","2209000"
"435","C-4-14-III","TUMOR MYELOPROLIFERATIF LAIN-LAIN BERAT","III","C","5767300"
"376","C-4-11-II ","LIMFOMA & LEUKEMIA NON AKUT SEDANG","II","C","5327300"
"389","C-4-12-I  ","RADIOTERAPI RINGAN","III","B","2888100"
"393","C-4-12-II ","RADIOTERAPI SEDANG","III","C","4350800"
"392","C-4-12-I  ","RADIOTERAPI RINGAN","I","B","4043300"
"396","C-4-12-II ","RADIOTERAPI SEDANG","I","C","6091100"
"395","C-4-12-II ","RADIOTERAPI SEDANG","III","B","5864300"
"401","C-4-12-III","RADIOTERAPI BERAT","III","B","15061100"
"398","C-4-12-II ","RADIOTERAPI SEDANG","I","B","8210000"
"378","C-4-11-II ","LIMFOMA & LEUKEMIA NON AKUT SEDANG","I","C","6215200"
"404","C-4-12-III","RADIOTERAPI BERAT","I","B","21085600"
"402","C-4-12-III","RADIOTERAPI BERAT","I","C","15643700"
"405","C-4-13-I  ","KEMOTERAPI RINGAN","III","C","1660700"
"408","C-4-13-I  ","KEMOTERAPI RINGAN","I","C","2325000"
"382","C-4-11-III","LIMFOMA & LEUKEMIA NON AKUT BERAT","II","C","8190800"
"407","C-4-13-I  ","KEMOTERAPI RINGAN","III","B","2171200"
"413","C-4-13-II ","KEMOTERAPI SEDANG","III","B","4086300"
"410","C-4-13-I  ","KEMOTERAPI RINGAN","I","B","3039700"
"416","C-4-13-II ","KEMOTERAPI SEDANG","I","B","5720800"
"414","C-4-13-II ","KEMOTERAPI SEDANG","I","C","4375600"
"384","C-4-11-III","LIMFOMA & LEUKEMIA NON AKUT BERAT","I","C","9556000"
"417","C-4-13-III","KEMOTERAPI BERAT","III","C","4230800"
"420","C-4-13-III","KEMOTERAPI BERAT","I","C","5923100"
"419","C-4-13-III","KEMOTERAPI BERAT","III","B","5531400"
"428","C-4-14-I  ","TUMOR MYELOPROLIFERATIF LAIN-LAIN RINGAN","I","B","5050600"
"422","C-4-13-III","KEMOTERAPI BERAT","I","B","7744000"
"439","C-4-14-III","TUMOR MYELOPROLIFERATIF LAIN-LAIN BERAT","II","B","9328300"
"430","C-4-14-II ","TUMOR MYELOPROLIFERATIF LAIN-LAIN SEDANG","II","C","4644900"
"432","C-4-14-II ","TUMOR MYELOPROLIFERATIF LAIN-LAIN SEDANG","I","C","5419100"
"437","C-4-14-III","TUMOR MYELOPROLIFERATIF LAIN-LAIN BERAT","III","B","7773600"
"443","D-1-10-I  ","PROSEDUR PENCANGKOKAN SUMSUM TULANG RINGAN","I","C","18904900"
"445","D-1-10-I  ","PROSEDUR PENCANGKOKAN SUMSUM TULANG RINGAN","II","B","25893800"
"447","D-1-10-II ","PROSEDUR PENCANGKOKAN SUMSUM TULANG SEDANG","III","C","20566700"
"449","D-1-10-II ","PROSEDUR PENCANGKOKAN SUMSUM TULANG SEDANG","I","C","28793400"
"451","D-1-10-II ","PROSEDUR PENCANGKOKAN SUMSUM TULANG SEDANG","II","B","39438000"
"453","D-1-10-III","PROSEDUR PENCANGKOKAN SUMSUM TULANG BERAT","III","C","32749300"
"456","D-1-10-III","PROSEDUR PENCANGKOKAN SUMSUM TULANG BERAT","III","B","52332400"
"458","D-1-10-III","PROSEDUR PENCANGKOKAN SUMSUM TULANG BERAT","I","B","73265300"
"459","D-1-11-I  ","PROSEDUR LIMPA RINGAN","III","C","4463500"
"461","D-1-11-I  ","PROSEDUR LIMPA RINGAN","III","B","5835700"
"463","D-1-11-I  ","PROSEDUR LIMPA RINGAN","II","B","7002800"
"468","D-1-11-II ","PROSEDUR LIMPA SEDANG","I","C","15956300"
"464","D-1-11-I  ","PROSEDUR LIMPA RINGAN","I","B","8170000"
"470","D-1-11-II ","PROSEDUR LIMPA SEDANG","I","B","20861800"
"471","D-1-11-III","PROSEDUR LIMPA BERAT","III","C","14811300"
"473","D-1-11-III","PROSEDUR LIMPA BERAT","III","B","19963700"
"475","D-1-11-III","PROSEDUR LIMPA BERAT","II","B","23956400"
"482","D-1-20-I  ","PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (RINGAN)","I","B","7082400"
"484","D-1-20-II ","PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (SEDANG)","II","C","12796000"
"487","D-1-20-II ","PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (SEDANG)","II","B","16729800"
"490","D-1-20-III","PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (BERAT)","II","C","20298100"
"493","D-1-20-III","PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (BERAT)","II","B","26538400"
"495","D-2-10-0  ","PROSEDUR PENCANGKOKAN SUMSUM TULANG","","C","940000"
"497","D-2-11-0  ","PROSEDUR LIMPA","","B","1486800"
"512","D-4-10-I  ","AGRANULOSITOSIS RINGAN","I","B","3491400"
"498","D-2-11-0  ","PROSEDUR LIMPA","","C","1471300"
"500","D-2-21-0  ","PROSEDUR BESAR PADA NODUL LIMPA DAN TYMUS","","B","1247000"
"515","D-4-10-II ","AGRANULOSITOSIS SEDANG","III","B","4092700"
"502","D-2-22-0  ","PROSEDUR KECIL PADA NODUL LIMPA DAN TYMUS","","B","305800"
"504","D-3-10-0  ","PROSEDUR TRANSFUSI & TERAPI SUMSUM TULANG","","B","975700"
"506","D-3-11-0  ","PROSEDUR DIAGNOSTIK DARAH DAN ORGAN PEMBENTUK DARAH","","B","515300"
"513","D-4-10-II ","AGRANULOSITOSIS SEDANG","III","C","3478200"
"508","D-4-10-I  ","AGRANULOSITOSIS RINGAN","III","B","2493900"
"510","D-4-10-I  ","AGRANULOSITOSIS RINGAN","II","C","2776700"
"517","D-4-10-II ","AGRANULOSITOSIS SEDANG","I","C","4869500"
"518","D-4-10-II ","AGRANULOSITOSIS SEDANG","I","B","5729800"
"520","D-4-10-III","AGRANULOSITOSIS BERAT","III","B","6438800"
"522","D-4-10-III","AGRANULOSITOSIS BERAT","I","C","7660800"
"523","D-4-10-III","AGRANULOSITOSIS BERAT","II","B","7726600"
"529","D-4-11-I  ","GANGGUAN PEMBEKUAN DARAH RINGAN","II","B","4752500"
"531","D-4-11-II ","GANGGUAN PEMBEKUAN DARAH SEDANG","III","C","5443300"
"533","D-4-11-II ","GANGGUAN PEMBEKUAN DARAH SEDANG","III","B","7116700"
"535","D-4-11-II ","GANGGUAN PEMBEKUAN DARAH SEDANG","II","B","8540000"
"537","D-4-11-III","GANGGUAN PEMBEKUAN DARAH BERAT","III","C","7477700"
"539","D-4-11-III","GANGGUAN PEMBEKUAN DARAH BERAT","III","B","10079000"
"541","D-4-11-III","GANGGUAN PEMBEKUAN DARAH BERAT","II","B","12094800"
"544","D-4-12-I  ","KRISIS ANEMIA SEL SICKLE RINGAN","III","B","3414400"
"546","D-4-12-I  ","KRISIS ANEMIA SEL SICKLE RINGAN","I","C","3656200"
"550","D-4-12-II ","KRISIS ANEMIA SEL SICKLE SEDANG","II","C","4346700"
"548","D-4-12-I  ","KRISIS ANEMIA SEL SICKLE RINGAN","I","B","4780200"
"552","D-4-12-II ","KRISIS ANEMIA SEL SICKLE SEDANG","III","B","4735900"
"554","D-4-12-II ","KRISIS ANEMIA SEL SICKLE SEDANG","I","B","6630200"
"832","F-4-15-II ","NEUROSA SELAIN DEPRESI SEDANG","III","C","3110900"
"4182","Q-5-12-0  ","GIGI","","C","208500"
"576","D-4-13-III","GANGGUAN SEL DARAH MERAH SELAIN KRISIS ANEMIA SEL SICKLE BERAT","I","C","5672000"
"573","D-4-13-III","GANGGUAN SEL DARAH MERAH SELAIN KRISIS ANEMIA SEL SICKLE BERAT","III","C","4051400"
"191","B-1-13-II ","PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (SEDANG)","II","B","10844800"
"595","D-4-14-III","GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (BERAT)","II","B","7541500"
"581","D-4-14-I  ","GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (RINGAN)","I","C","3360500"
"592","D-4-14-III","GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (BERAT)","II","C","5768200"
"584","D-4-14-I  ","GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (RINGAN)","I","B","4393700"
"587","D-4-14-II ","GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (SEDANG)","III","B","5138300"
"589","D-4-14-II ","GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (SEDANG)","II","B","6165900"
"213","B-1-14-III","PROSEDUR CHOLESISTEKTOMI DENGAN LAPAROSKOPIK BERAT","III","B","13130900"
"604","E-1-01-II ","PROSEDUR KELENJAR PITUITARI DAN PINEAL SEDANG","II","C","6716700"
"602","E-1-01-I  ","PROSEDUR KELENJAR PITUITARI DAN PINEAL RINGAN","I","B","9634100"
"597","E-1-01-I  ","PROSEDUR KELENJAR PITUITARI DAN PINEAL RINGAN","III","C","4273000"
"599","E-1-01-I  ","PROSEDUR KELENJAR PITUITARI DAN PINEAL RINGAN","I","C","5982200"
"611","E-1-01-III","PROSEDUR KELENJAR PITUITARI DAN PINEAL BERAT","I","C","13607400"
"613","E-1-01-III","PROSEDUR KELENJAR PITUITARI DAN PINEAL BERAT","II","B","27180700"
"606","E-1-01-II ","PROSEDUR KELENJAR PITUITARI DAN PINEAL SEDANG","III","B","9394300"
"615","E-1-10-I  ","PROSEDUR KELENJAR ADRENAL RINGAN","III","C","3333300"
"617","E-1-10-I  ","PROSEDUR KELENJAR ADRENAL RINGAN","I","C","4666600"
"619","E-1-10-I  ","PROSEDUR KELENJAR ADRENAL RINGAN","II","B","8585400"
"621","E-1-10-II ","PROSEDUR KELENJAR ADRENAL SEDANG","III","C","4045800"
"623","E-1-10-II ","PROSEDUR KELENJAR ADRENAL SEDANG","I","C","5664200"
"624","E-1-10-II ","PROSEDUR KELENJAR ADRENAL SEDANG","III","B","9931400"
"626","E-1-10-II ","PROSEDUR KELENJAR ADRENAL SEDANG","I","B","13903900"
"632","E-1-10-III","PROSEDUR KELENJAR ADRENAL BERAT","I","B","26269000"
"628","E-1-10-III","PROSEDUR KELENJAR ADRENAL BERAT","II","C","10232900"
"630","E-1-10-III","PROSEDUR KELENJAR ADRENAL BERAT","III","B","18763600"
"640","E-1-20-II ","PROSEDUR PADA TIROID, PARATIROID DAN SALURAN TIROGLOSAL SEDANG","II","C","9096300"
"643","E-1-20-II ","PROSEDUR PADA TIROID, PARATIROID DAN SALURAN TIROGLOSAL SEDANG","II","B","11892800"
"646","E-1-20-III","PROSEDUR PADA TIROID, PARATIROID DAN SALURAN TIROGLOSAL BERAT","II","C","12536600"
"665","E-4-10-II ","PENYAKIT KENCING MANIS & GANGGUAN NUTRISI/ METABOLIK SEDANG","III","C","4695800"
"652","E-2-10-0  ","PROSEDUR PADA KELENJAR ADRENAL","","B","364300"
"648","E-1-20-III","PROSEDUR PADA TIROID, PARATIROID DAN SALURAN TIROGLOSAL BERAT","I","C","14626000"
"651","E-2-10-0  ","PROSEDUR PADA KELENJAR ADRENAL","","C","262200"
"298","B-4-13-II ","GANGGUAN HATI SELAIN TUMOR, SIROSIS ATAU HEPATITIS ALKOHOLIK SEDANG","I","B","6717200"
