
column_name	data_type	is_nullable	column_default
dpjp_skdp	character varying	YES	
dpjp_skdp_sep	character varying	YES	
nosurat_skdp	character varying	YES	
nosurat_skdp_sep	character varying	YES	
no_reg_parent	character varying	YES	
tuslah	integer	YES	
atas_nama	character varying	YES	
id_dokter	integer	YES	
no_medrec	integer	YES	
id_kontraktor	integer	YES	
kekhususan	character varying	YES	
tindak_lanjut	text	YES	
tgl_kontrol_ulang	date	YES	
jam_kontrol_ulang	time without time zone	YES	
cetak_prmrj	character	YES	
em	integer	YES	0
status_em	integer	YES	0
vtot_em	integer	YES	
jadwal_em	timestamp without time zone	YES	
waktu_masuk_em	timestamp without time zone	YES	
waktu_keluar_em	timestamp without time zone	YES	
no_register_lama	character varying	YES	
waktu_masuk_dokter	timestamp without time zone	YES	
waktu_pulang	timestamp without time zone	YES	
alasan_kontrol_ulang	character varying	YES	
kode_faskes_perujuk	character varying	YES	
nama_faskes_perujuk	character varying	YES	
tgl_konsul	date	YES	
tgl_jawaban_konsul	timestamp without time zone	YES	
jawaban_konsul	integer	YES	
puskesmas_tujuan	character varying	YES	
tujuan_rs	character varying	YES	
dokter_kontrol_id	character varying	YES	
kondisi_masuk	character varying	YES	
saran_rawat	character varying	YES	
konsul_nanti	character	YES	
pengobatan	character varying	YES	
pemeriksa_dokter	character varying	YES	
pemeriksa_perawat	character varying	YES	
alasan_tunda_rad	character varying	YES	
cetak_rad	integer	YES	
status_cetak_rad	integer	YES	
noreservasi	character varying	YES	
billing_rad	timestamp without time zone	YES	
cetak_kwitansi_st	character varying	YES	
farmasi	character varying	YES	
dtfarmasi	timestamp without time zone	YES	
waktu_resep_dokter	timestamp without time zone	YES	
waktu_farmasi_verif	timestamp without time zone	YES	
waktu_telaah_obat	timestamp without time zone	YES	
waktu_selesai_farmasi	timestamp without time zone	YES	
wkt_telaah_obat	timestamp without time zone	YES	
wkt_dispensing_obat	timestamp without time zone	YES	
wkt_penyerahan_obat	timestamp without time zone	YES	
respon_rujukan	character varying	YES	
cara_dtg	character varying	YES	
diag_klinis_rad	character varying	YES	
id_poli_rujuk	character varying	YES	
noreg_asal_konsul	character varying	YES	
utdrs	character varying	YES	
status_utdrs	character varying	YES	
order_lab_cito	character varying	YES	
waktu_resep_farmasi	timestamp without time zone	YES	
status_panggil	character varying	YES	
waktu_selesai	character varying	YES	
waktu_panggil	character varying	YES	
